district,demvote
13,21.80%
37,23.85%
44,24.38%
12,24.72%
34,25.48%
40,27.45%
14,31.66%
29,32.77%
43,34.71%
28,34.86%
6,36.10%
2,36.13%
5,36.50%
17,37.57%
19,38.21%
20,38.55%
15,39.33%
51,39.48%
18,40.69%
11,40.80%
30,42.01%
35,42.71%
38,44.78%
32,46.86%
27,46.90%
46,47.72%
53,48.06%
41,50.30%
33,50.62%
47,51.73%
36,54.10%
3,55.05%
16,55.10%
9,55.39%
26,55.69%
24,57.00%
52,57.39%
7,59.40%
31,60.05%
10,64.01%
25,65.60%
49,66.68%
21,67.93%
1,69.64%
45,71.20%
48,71.63%
39,71.67%
42,72.20%
4,73.13%
8,73.94%
22,77.65%
50,77.93%
23,80.84%
